,text,score,jaehyeong/koelectra-base-v3-generalized-sentiment-analysis,klue/bert-base,matthewburke/korean_sentiment,monologg/koelectra-base-v2-discriminator,skt/kogpt2-base-v2,beomi/kcbert-large
16,"다양한 관점에서 문학 작품 바라보기 문학 속 지리 이야기를 들으며 장마와 불볕더위를 잠시 잊었네요.
지리 뿐 아니라 인종 차별, 아동 노동, 직업의 변화, 노동 문제, 도시 빈민 문제 등 다양한 사회 문제를 생각해 보며 문학 작품을 깊이 있게 이해할 수 있는 시간이었습니다. 문학과 현실의 관계를 이해하는 수업에서 문학 작품을 통해 당대 현실을 파악할 수 있는 수업 자료로 활용하면 좋겠다는 생각을 했습니다. 또한 작품에 드러난 사회 문제를 오늘날 어떻게 바라볼 것인지, 또한 현재까지 지속되는 문제라면 이를 어떻게 해결할 것인지 질문을 던지는 연수였습니다.",1,1,0,1,0,0,0
17,"감사한 마음입니다. 함께 고민을 나누어 주신 그리고 함께
과학 수업을 진지하게 생각할 수 있는 기회를
주신 선생님들께 감사한 마음입니다.
2학기 수업을 여름 방학에 진지하개 준비하여야겠네요~",1,1,0,1,0,0,0
18,과학이 필요한 시간 바쁜 생활 중에 잠시 휴식의 시간같은 연수였습니다.,1,1,0,1,0,0,0
19,즐거운 체육수업 체육시간에 잘 활용할 수 있어 좋아요,1,1,0,1,0,0,0
20,다양한 미술활동 쉽고 재미있는 여러가지 미술활동을 배울수있어요,1,1,0,1,0,0,0
21,이벤트 다양한 이벤트로 즐겁게 학급운영을 할 수있어요,1,1,0,1,0,0,0
22,고3자녀 고3 자녀를 위해 들었어요 몰랐던 내용을 많이 배웠어요,1,1,0,1,0,-1,0
23,공감 학생들의 마음을 들여다볼수 있는 계기가 되었네요,1,1,0,1,0,0,0
24,그림으로 생활지도 그림을 통해 다양한 활동도 하고 생활지도에도 활용할 수 있어요,1,1,0,1,0,0,0
25,교사와 학생을 위한 교사와 학생이 모두 행복한 교실을 위해,1,1,0,1,0,0,0
26,실전에 활용할 수 있는 실전에 활용할 수 있는 유익한 연수였습니다~,1,1,0,1,0,0,0
27,손그림과 파포 콘텐츠 만들기에 쉽게 접근 할 수있어요,1,1,0,1,0,0,0
28,여행 여행가고싶은 마음에 영어공부 먼저,1,1,0,-1,0,0,0
29,독서의 즐거움 아이들에게 독서의 즐거움을 알려줄 수 있는 독서수업방법을 알려주는 좋은 연수였습니다.,1,1,0,1,0,0,0
30,"체육시간에 뭐할지 생각 안 날 때 잘 활용할 것 같아요 올해 체육온 동아리를 운영하게 되어 아이들에게 다양한 활동을 소개하기 위해 연수를 신청하였습니다.

저학년 학생들이라서 기능 위주의 체육 활동이 아닌 놀이 위주의 체육활동을 선호하는데

연수를 통해서 다양한 게임들을 알게 되어서 잘 활용 할 것 같습니다.

특히 교실체육에서 활용할 수 있는 활동들이 많이 소개되어 장소에 구애받지 않고 언제든 체육활동을 할 수 있을 것 같습니다.

3~6학년 대상 활동이 많았는데 조금만 수정하면 저학년도 충분히 재미있게 할 수 있어요

체육 연수도 30시간 이수하도록 되어 있던데 이 연수 추천합니다.

한 선생님이 전체 강의를 해주는 수업도 들어봤는데 전달력은 이 연수가 더 좋은 것 같습니다. (타 연수는 왠지 해당 선생님의 교구를 사야할 것 같은 기분이 들더라구요)",1,1,0,1,0,0,0
31,지역을 소개하는 재미있은 인문여행 지역 음식 위주의 강의가 맛깔스러웠으며 지리 정보를 소개할 때 동영상 자료를 제시했으면 좋겠습니다.,1,1,0,1,0,0,0
32,유익한 연수입니다만... 이제 막 연수를 시작하면서 많이 불편한 점이 딱 한 가지가 있어 미리 후기에 올립니다. 다른 연수도 아닌 언어연수라서 출퇴근하면서 더 열심히 공부하려고 했더니! pc로만 수강 가능하네요ㅠㅠ 서울시교육연수원 연수도 모바일 연수 가능합니다. 티셀파 연수인데... 하루 빨리 모바일 강의도 가능하게 부탁드립니다.,1,1,0,1,0,0,0
33,과학을 쉽게 배웠습니다. 과학에 대해서 막연히 어렵게 생각할 수 있는 부분을 쉽게 배워보는 좋은 기회였습니다.,1,1,0,1,0,0,0
34,실제 수업에 활용할 수 있는 좋은 연수 실제 학교 생활에서 유익하게 사용할 수 있는 것들을 배워보는 좋은 연수였습니다.,1,1,0,1,0,0,0
35,노션 좋아요ㅏ! 요즘 노션이 핫해서 궁금해쓴ㄴ데 잘 들어씃ㅂ니다.,1,1,0,1,0,0,0
36,여러 과학 이야기 여러 과학 이야기를 한번에 들을 수 있어서 좋아요.,1,1,0,1,0,0,0
37,환경과 관련된 기후변화 이야기 기후위기에 대해 심각성을 인지하고 변화에 대해 알아볼 수 있는 좋은 연수였습니다.,1,1,0,1,0,0,0
38,우수한 과학 실험 컨텐츠 교육 다양한 학생들의 과학적 사고력을 길러주고 수업시간 다양한 탐구활동을 통해 학생들의 호기심을 향상시켜주는 우수한 연수인듯 합니다. 앞으로도 열심히 공부하여 많은 지도가 될 수 있도록 하겠습니다.,1,1,0,1,0,0,0
39,도움이 되었어요! 학생들을 이해하는데 많은 도움이 되었습니다.,1,1,0,1,0,0,0
40,여행 대비 연수! 여행을 대비해서 들었는데 많은 도움이 되었습니다.,1,1,0,1,0,0,0
41,"재미있는 강의였습니다. 고등학교 때 공부하고 더이상 보지 않았던, 다양한 과학의 내용들을 접할 수 있어서 좋았습니다.",1,1,0,1,0,0,0
42,쉽게 배워보았습니다. 재미있고 쉬운 영어를 배워보았습니다.,1,1,0,1,0,0,0
43,요즘 트렌드 요즘 트렌드인 탄소중립 교육 활동에 대해 생각해보는 계기가 되었습니다.,1,1,0,1,0,0,0
44,알차고 좋아요 평소 궁금했던 내용들을 잘 알 수 있어서 너무 좋았어요,1,1,0,1,0,0,0
45,당장 사용할수 있는 꼭 필요한 연수 교과서 사용법을 알게되어 당장 시급히 필요한 연수입니다.,1,1,0,1,0,0,0
46,사회 수업할때 좋을 것 같습니다. 박물관을 좀 더 자세하게 알아봄으로써 사회 수업이 더욱 재미있었 질 것 같네요.,1,1,0,1,0,0,0
47,영어 초보들을 위한 연수 말그대로 영어 초보입니다. 좀 더 쉽게 영어 공부를 시작할 수 있어서 좋았어요.,1,1,0,1,0,0,0
48,영어실력 향상에 필수! 문법을 배우면서 영어 공부를 하니 한결 도움이 많이 됩니다.,1,1,0,1,0,0,0
49,생활영어 추천 생활에서 사용 가능한 영어 회화를 연수로 배울 수 있었습니다. 다른 상황별 생활영어로 시즌2도 나왔으면 좋겠어요.,1,1,0,1,0,0,0
50,"또 배워 갑니다. 유용하게 지식도 전달 받고,
알게 된 지식을 수업에 적용하고,
이렇게 좋을 수가 없네요~!",1,1,0,1,0,0,0
51,반복 듣기 한 번에 알아듣기는 힘들지만 여러 번 들으니 재미있어요.,1,1,0,1,0,0,0
52,문법 제대로 알기 영어를 잘하고 싶어서 문법도 열심히 배우고 있습니다. 자주 사용되는 중요 문법을 다시 공부할 수 있는 기회가 되었어요.,1,1,0,1,0,0,0
53,"저학년 5년차에게도 필요한 연수 저학년만 5년차 맡고 있는 교사입니다.

저학년들과 5년이나 함께 했지만 아직도 남자 아이들의 마음과 생활태도, 학습태도는 저를 좌절하게 합니다.


이 연수를 듣고, 남자아이들에 대해 조금이나마 이해할 수 있었습니다.

이제는 생물학적 차이, 사회적으로 대하는 태도 등 여러 가지 측면에서 아이들을 이해하고, 조금은 남자아이들의 특성에 맞게 대할 수 있을 것 같습니다.

강사님께서 권해주신 책도 다시 읽어보며, 남자아이들에게 한 발 먼저 다가가 보겠습니다.

좋은 연수 정말 감사합니다.",1,1,0,1,0,0,-1
54,"즐거운 연수였습니다. 손그림의 매력을 알게 되어서 펜을 쥐는 시간이 많아질 것 같습니다.
파워포인트도 알지 못했던 기능들이 너무 무궁무진(?)해서 앞으로 좀 더 공부해보고 활용해봐야겠습니다.
재미있고 쉽게 설명해주시어 유익한 연수였습니다. 감사합니다.",1,1,0,1,0,0,0
55,"실전 수업 바로 적용 가능 (창체부터 영재까지) 유아부터 초등까지 기본 과학실험부터 영재실험까지 폭넓게 적용이 가능해요.
실제적으로 수업에 적용가능한 스팀 활동이라 너무 만족스럽습니다.
감사합니다.",1,1,0,1,0,0,0
56,우리 민족의 아픈 역사 우리 민족의 아픈 역사를 깊이 알 수 있었으며 나이와 신분을 초월한 독립운동으로 오늘의 우리 대한민국이 존재함을 깨달을 수 있었습니다. 유익한 연수였습니다.,1,1,0,1,0,0,0
57,"박물관 여행 연수 후기 박물관이 이렇게 많이 있는 줄 몰랐습니다.
박물관에 대해 자세히 알 수 있어서 좋았습니다.
방학과 주말을 이용해서 주변 박물관부터 직접 가서 느껴보고
전시품들의 의미를 다시 한번 새기고 싶습니니다.
감사합니다.",1,1,0,1,0,0,0
58,"아날로그와 디지털의 조화, 콘텐츠 만들기 필요하신 분에게 추천 요새 많은 부분이 컴퓨터로 이루어지고 있지만 한 번씩 부족하거나 손으로 꼭 해야할 것들이 있었습니다

그런데 그림 그리는 실력이 없어서 아쉬웠는데 본 연수를 보고 같이해보니 손그림실력이 어느새 늘어있어서 자신감이 붙을 수 있었습니다

그리고 파워포인트로 여러가지 콘텐츠를 만들고 자료까지 얻어서 교실에 활용이 가능했습니다

주어진 콘텐츠만 활용하는 경우가 많지만 내가 필요한 콘텐츠를 간단하게라도 필요할때 사용하고 싶은 선생님들에게 추천드립니다~",1,1,0,1,0,0,0
59,"예술을 통한 치유의 이 연수를 통해 미술치료의 효과에 대한 깊은 이해와 경험을 얻을 수 있었습니다. 미술을 통한 자기 표현과 창조는 심리적인 안정과 자아 성장을 도모하는 데 큰 도움이 된다는 것을 깨달았습니다.
나 자신과 타인에 대한 이해를 높이고, 예술을 통한 치유의 힘을 깨닫는 데 큰 도움을 주었습니다. 좋은 연수를 열어 주셔서 감사합니다^^",1,1,0,1,0,0,0
60,분야별 전문의들의 상담같은 연수로 건강상식을 높이자 자신의 건강을 자신하는 이는 없을 것입니다. 늘 건강에 관심은 있어 여러 가지 영양제를 챙겨서 먹고는 있지만 운동도 식단도 꾸준히 하는 것은 참 힘이 듭니다. 건강과 관련된 강좌를 연수로 챙겨듣는 것은 이 연수가 처음인데 그동안 막연하게 알고 있던 건강 지식들 중 잘못알고 있는 것들이 꽤 있어서 연수를 챙겨듣기를 잘 했다는 생각이 들었습니다. 건강에 관심이 있지만 제대로 된 건강 상식을 알고 있는지 궁금한 분들이라면 각분야의 전문의들의 속시원한 상담같은 쉬운 설명의 이 연수를 추천하고 싶습니다. 건강은 건강할 때 천천히 챙기는 지혜가 필요합니다.몸이 신호를 보내는 때는 이미 치료 늦은 때일 수도 있다고 합니다.,1,1,0,1,0,0,0
61,"유익해요! 영어 문장을 말하고자 할 때
쉽게 떠오르지 않아 말문이 막힐 때가 많았는데
패턴을 읽혀 쉽게 대화할 수 있을 것 같아요!",1,1,0,1,0,0,0
62,"수업에 응용할 수 있는 과학자들의 이야기들이 담겨 있어서 유용한 연수였다 수업에서 이론을 가르칠 때 부가해 줄 수 있는 과학자들의 뒷이야기들이 담겨 있어서 좋은 연수였다.
그러나 30강이라는 게 조금은 부담이 되긴 하였다. 다음엔 15강씩 두개로 나누어 주었으면 좋겠다.
15강 정도를 한번에 스토리텔링 하시는 교수님이 존경스러웠다.",1,1,0,1,0,0,0
63,주변 샘들에게 권하고 싶은 연수 당연히 알아야 할 것에 대한 연수. 모두 알고 있는듯 하지만 사실 온전히 알지 못하는 내용. 티셀파에서 무료로 연수를 듣게 해줘서 정말 좋았어요. 그래서 주변 샘들에게도 널리널리 알렸던 연수 입니다. 교사부터 알아야 아이들에게도 제대로 알려줄 수 있으니 거룩한 의무감을 느낍니다.,1,1,0,1,0,0,0
64,의병전쟁 연수 완전 강추입니다. 독립운동 현장읽기-구국계몽운동 연수와 더불어 당연히 알아야 할 것에 대한 연수. 모두 알고 있는듯 하지만 사실 온전히 알지 못하는 내용. 티셀파에서 무료로 연수를 듣게 해줘서 정말 좋았어요. 그래서 주변 샘들에게도 널리널리 알렸던 연수 입니다. 교사부터 알아야 아이들에게도 제대로 알려줄 수 있으니 거룩한 의무감을 느낍니다.,1,1,0,1,0,0,0
65,좋은연수!! 모두들 함께 들어요. 학교에서 놀이처럼 할 수 있는 정말 조물조물 뚝딱뚝딱 만들기 입니다. 어렵지도 않고 준비물도 쉽게 구할 수 있어서 몰라서 만들지 못했던 시간이 아쉽네요. 모두들 즐거운 자율시간을 교실에서 만들기 바라요~~,1,1,0,1,0,0,0
66,울 꼬맹이들의 마음 읽기 정말 쉽지 않습니다. 울 꼬맹이들 마음을 어떻게 하면 사로 잡을 수 있을까 늘 고민중입니다. 아주 잠시 잡았다 싶다가도 돌아서면 제자리... 아이들의 마음을 잡기전 제 마음부터 잡고 싶습니다. 실망하지 않도록!!!,1,1,0,1,0,0,0
67,이게 도움이 되길 바라며.... 아이들이 진학을 하도록 돕는 연수라 들었는데... 매번 느끼는것은 아이들이 먼저 움직이지 않으면 큰도움을 못주는 입장인것 같아 늘 아쉬움이 남습니다. 교사와 학생 호흡을 맞추는게 참 어려운 일인듯 싶어 주고 싶어도 줄 수 없는 마음에 안타까움이 더했습니다.,0,1,0,1,0,0,0
68,"너무나 유익한 연수였어요. 너무 아름다운 소리가 나는 악기이고 다들 금새 배울 수 있다기에 도전했어요. 그렇지만 생각보다 시간을 많이 요하는 악기예요. 너무 쉽다고만 생각하지않고 방학중에 진득하게 마음먹고 연습하면 내가 연주하는 악기가 한가지 늘어나는 거죠. 연수는 마쳤지만 진짜 시작은 지금부터입니다. 방학중에 열심히 연습할거예요. 연수 도전할 수 있도록 악보며, 악기며 모두 지원해주신 강사님과 티셀파에 감사합니당~~~",1,1,0,1,0,0,0
69,입시전략 특강!!! 나만 너무나 모르는 입시 전략! 잘 들었어도 잘 모르겠다는.... 시간이 많이 필요할 듯 합니다. 자율연수로 들어서 참 다행입니다.,1,0,0,1,0,0,0
70,한권의 책으로 하는 수업 감동적이었습니다. 한 권의 책으로 하는 수업 감동적이었습니다. 감사합니다.,1,1,0,1,0,0,0
71,교실이 즐거워지는 놀이 놀이방법에 대해 많이 알지 못하여 고민하던 터에 많은 도움이 됩니다. 교실이 즐거워지는 놀이 수업 방법 적극 추천합니다.,1,1,0,1,0,0,0
72,"역사 수업의 많은 도움이 되는 연수 조선시대를 가르치는 중학교 3학년 역사 수업에 있어, 왕들의 생생한 이면을 알 수 있어 매우 좋았습니다. 태조 이성계부터 순종 대까지 조선 역사의 흐름을 파악할 수 있었고, 역사 수업을 진행 함에 있어 풍부한 배경지식을 쌓을 수 있어 매우 유익했습니다. 추천하는 연수입니다. 즐겁게 연수 이수 했습니다.",1,1,0,1,0,0,0
73,"문화사 수업에 매우 유용한 연수입니다. 중학교 3학년 역사 수업을 진행함에 있어 문화사 수업은 매우 힘들고, 아이들이 어려워하는 주제인데 실제 박물관에 가서 어떻게 유물을 봐야 하는지 알려주어서 매우 좋았습니다. 우리나라의 매우 특색있는 박물관이 이렇게 많았음을 새삼 다시 알았고, 방학을 이용하여 박물관을 방문해 볼 생각입니다.",1,1,0,1,0,0,0
74,알차고 재미있는 강의 강의 내용이 알차고 재미있어서 연수듣는 시간이 지루하지 않고 금방금방 지나갔어요. 내용도 유익했어요...,1,1,0,1,0,0,0
75,"재미있게 잘 배웠어요 저도 오랫만에 따라하면서 재미있게 연수를 들었던 것 같아요. 나만의 글씨도 따로 연습해 보면서..정말 유익한 연수였어요. 학생들과 미술시간에 그냥 드로잉 붓펜을 이용해서 다양한 엽서라던가 부채 꾸미기도 해보고 싶고, 여러가지를 같이 해보고 싶다는 생각이 부쩍 들었습니다.",1,1,0,1,0,0,0
76,"좋아요 여행 영어 정말 필요했는데 유익하고 즐거운 연수였습니다.
영어 관련 연수를 많이 늘려주셨으면 좋겠습니다^^
티셀파 아주 잘 이용합니다~~~ 늘 응원합니다~~!",1,1,0,1,0,0,0
77,"재밌고 유익한 강의 무엇보다 지금 시급하고 중요한 이야기를
재밌고 흥미롭게 배울 수 있었습니다.",1,1,0,1,0,0,0
78,체육수업이 도움이 됩니다. 체육 활동에 도움이 되었습니다.,1,1,0,1,0,0,0
79,"실재적인 진로 교육 연수 기존 여러 진로교육 연수들이 있다. 많은 연수들 중 '교과수업에 활용하는 진로교육' 연수는 강사님의 강의도 훌륭하고 특히 실재적이고 현장에 바로 활용가능한 부분들이 많았던 연수였다.
연수를 듣고 생각할 부분과 실제 적용할 부분이 많아서 많은 도움이 되었다.",1,1,0,1,0,0,0
80,쉽고 재밌어요 주변 선생님들께 다 추천했어요. 유익한 강의입니다,1,1,0,1,0,0,0
81,쉽고 재밌는 독서교육!!! 너무 훌륭한 연수였습니다.,1,1,0,1,0,0,0
82,일본어 공부에 도움이 되는 연수 일본어의 기본 글자부터 시작하여 기본 문형과 문법을 이해하는데 많은 도움이 됐습니다.,1,1,0,1,0,0,0
83,기후 환경 위기 심각성 깨닫기 기후 환경 위기의 심각성을 깨닫고 이를 보존하기 위한 방안 들에 대해서 생각할 수 있는 계기가 되었음,1,1,0,1,0,0,0
84,잘 들었습니다 조용히 강의를 들으며 많은 생각을 하게 되고 되돌아볼 수 있어 좋았습니다~,1,1,0,1,0,0,0
85,여행 활용 여행 활용에 도움이 되는 유익한 연수였습니다.,1,1,0,1,0,0,0
86,"좋은 수업 강의 감사합니다. 지역과 도시, 동화와 관련된 내용이
인문학적 소양을 높일 수 있도록 다양한 이야기를 수업으로 들어서 너무 좋았습니다.",1,1,0,1,0,0,0
87,"비스무트라는 새로운 원소를 알게 되었어요^^ 주기율표를 열심히 외우기만 했어요^^
비스무트라는 아주 예쁜 원소가 있다는 것을 알게 해주시고, 아이들과 쉽게 실험을 해서 예쁜 결정을 만들 수 있다는 것을 배우게 되었습니다.
학생들이 참여하는 모습을 보여주심으로써 실제 수업에서도 적용할 수 있겠구나를 느낄 수 있어서 좋았습니다.
꼭 수업에 활용해보도록 하겠습니다. 감사합니다.",1,1,0,1,0,0,0
88,즐거운 학급 운영 1년이라는 시간 동안 학급을 즐겁고 신나게 운영할 수 있는 다양한 방법 들이 제시되어 있어 좋았습니다.,1,1,0,1,0,0,0
89,재미있는 수학 수업 딱딱하기 쉬운 수학 수업에 재미를 불어 넣을 수 있는 방법이라서 수업에 잘 활용할 수 있을 듯 합니다.,1,1,0,1,0,0,0
90,"도움 많이 받았습니다. 보고서를 어떻게 작성해야하나 막막했는데, 큰 도움을 받았습니다.",1,1,0,1,0,0,0
91,도움 많이 받았습니다. 재밌고 유익한 연수입니다.,1,1,0,1,0,0,0
92,"흥미로운 독서수업방법 어렵게만 느껴졌던 독서수업.
이제는 자신감이 생겼습니다.",1,1,0,1,0,0,0
93,도움 많이 받은 연수 추천합니다. 교사에게 꼭 필요한 연수네요.,1,1,0,1,0,0,0
94,박물관에 대한 새로운 시각 박물관이 어렵게만 느껴졌지만 가고 싶은 곳이 되는 연수였습니다. 학생들과 함께 가도 부담스럽지 않은 곳이 되는 연수가 되었습니다. 아픈 역사를 돌아보는 시간이 되는 연수이기도 했습니다. 만주주의 발자취를 따라 남산의 여러 곳을 설명을 들으면 받은 연수가 다시 떠오르는 시간이었습니다. 아픈 역사를 잊지 말고 되풀이 되지 않았으면 좋겠습니다.,1,1,0,1,0,0,0
95,늘 어렵게만 느껴졌던 재무설계 연수를 듣고나니 뭔가 부자가 될 것만 같은 기분이 드네요.,1,1,0,1,0,0,0
96,유익한 연수였습니다. 손그림은 제가 연수 따라하면서 재미있게 배웠구요. 실제 교실 칠판에서 간단하게 그림 그릴 때 잘 사용할꺼 같아요. 그리고 파워포인트는 어렵다고만 생각했는데 간단하게 설명해주셔서 좋았습니다.,1,1,0,1,0,0,0
97,여행시 필요한 다양한 상황별 표현이 많았습니다. 여행시 필요한 다양한 상황별 표현이 많았습니다.,1,1,0,1,0,0,0
98,재미있어요! 쉽고 재미있게 일본어를 배울 수 있어서 좋았습니다!,1,1,0,1,0,0,0
99,수업의 품격을 높이는 강의 강의를 듣고 수업의 품격을 높일 수 있도록 증진해야겠다.,1,1,0,1,0,0,0
100,"패턴별 영어 익히기 좋습니다!! 연수 제목처럼 패턴별로 회화를 익히기 좋은 연수입니다.
어렵지 않은 문장 구조로 반복 학습하면서 도움을 많이 받고 있어요. 퀴즈 더 많이 풀고 싶어요^^",1,1,0,1,0,0,0
101,"행복한 학급 만드는 비법 긍정심리학에 기반을 두고 학생, 교사 모두의 자존감을 높일 수 있는 방법을 여러 이론들과 학습방법을 바탕으로 설명해 주십니다. 교실수업에서도 적용해 보도록 하겠습니다 ^^",1,1,0,1,0,0,0
102,과학 교과를 가르치는데 큰 도움이 된 연수 과학 교과를 가르치는데 단원마다 지도상 유의점이나 사전 실험시 안내 사항을 친절하게 안내해주어서 큰 도움을 받았습니다.,1,1,0,1,0,0,0
103,독립운동 현장읽기를 통해 역사를 다시 관심있게 들여다보게 됩니다 치열했던 의병전쟁을 비롯해 중요한 역사적 사실을 다시 들여다보고 생각해볼 수 있는 유익한 시간이었습니다.,1,1,0,1,0,0,0
104,캘리그라피의 세계로 쉽게 흥미롭게 부창부수입니다. 강사님의 설명도 쏙쏙 잘 들어오고 따라하는 학생의 실력은 청출어람이라는 생각과 함께 두분이 너무 잘 어울리는 수업이었습니다. 덕분에 좀더 쉽게 그리고 아름다운 작품을 만들 수 있을 것 같습니다. 저도 뭔가 좀 캘리에 한발 다가선 듯한 느낌이 들어요. 감사합니다.,1,1,0,1,0,0,0
105,쉽고 재미있습니다! 수업에 적용하기 좋을 것 같아요. 감사합니다!,1,1,0,1,0,0,0
106,"미술시간 활용하기좋은연수 간단하면서도 아이들의 심리까지 파악할 수 있는 다양한 소재 거리가 있는 수업이었다. 3월 아이들을 알아가는 시간, 적용해보면서 아이들의 특징을 파악해보고 또 중간 중간 아이들의 마음을 알아가는 데 필요한 수업이다.",1,1,0,1,0,0,0
107,연수가 좋았어요. 연수가 유익하고 좋았습니다. 그러나 좀더 수준이 있는 내용으로 구성하면 더 좋을 것 같습니다.,1,1,0,-1,0,0,0
108,나의 평화가 가능한 이유 역사시간에 배운 유명한 독립운동가뿐 아니라 알려지지 않았던 독립운동을 하신 분들의 처절한 독립운동을 되새겨 보며 지금의 평화를 위해 희생하신 분들을 조금이나마 생각해 보는 좋은 연수였습니다.,1,1,0,1,0,0,0
109,"연수가 재미있어요! 강추합니다. 막연하게 생각했던 남학생들의 지도가 이렇게 명료하게 정리되어서 연수가 참 좋았습니다.
설명도 자세하게 잘 해주시고 재미도 있었습니다.
이제 학교에서 슬기로운 남학생 지도와 학부모 대하기에 자신이 생겼어요.",1,1,0,1,0,0,0
